{0,40,40,"Modular Synth Bass *",20},
{0,41,40,"DX Bass",7},
{0,0,41,"Violin",6},
{0,8,41,"Slow Violin",11},
{0,0,42,"Viola",5},
{0,0,43,"Cello",5},
{0,0,44,"Contrabass",10},
{0,0,45,"Tremolo Strings",15},
{0,8,45,"Slow Tremolo Strings",20},
{0,40,45,"Suspense Strings",16},
{0,0,46,"Pizzicato Strings",17},
{0,0,47,"Orchestral Harp",15},
{0,40,47,"Yang Qin",8},
{0,0,48,"Timpani",7},
{0,0,49,"Strings 1",9},
{0,3,49,"Stereo Strings",14},
{0,8,49,"Slow Strings",12},
{0,35,49,"60s Strings",11},
{0,40,49,"Orchestra",9},
{0,41,49,"Orchestra 2",11},
{0,42,49,"Tremolo Orchestra",17},
{0,45,49,"Velocity Strings",16},
{0,0,50,"Strings 2",9},
{0,3,50,"Stereo Slow Strings",19},
{0,8,50,"Legato Strings",14},
{0,40,50,"Warm Strings",12},
{0,41,50,"Kingdom",7},
{0,0,51,"Synth Strings 1",15},
{0,0,52,"Synth Strings 2",15},
{0,0,53,"Choir Aahs",10},
{0,3,53,"Stereo Choir",12},
{0,32,53,"Mellow Choir",12},
{0,40,53,"Choir Strings",13},
{0,0,54,"Voice Oohs",10},
{0,0,55,"Synth Voice",11},
{0,40,55,"Synth Voice 2",13},
{0,41,55,"Choral",6},
{0,64,55,"Analog Voice",12},
{0,0,56,"Orchestra Hit",13},
{0,35,56,"Orchestra Hit 2",15},
{0,64,56,"Impact",6},
{0,0,57,"Trumpet",7},
{0,32,57,"Warm Trumpet",12},
{0,0,58,"Trombone",8},
{0,18,58,"Trombone 2",10},
{0,0,59,"Tuba",4},
{0,0,60,"Muted Trumpet",13},
{0,0,61,"French Horn",11},
{0,6,61,"French Horn Solo",16},
{0,32,61,"French Horn 2",13},
{0,37,61,"Horn Orchestra",14},
{0,0,62,"Brass Section",13},
{0,35,62,"Trumpet & Trombone Section",26},
{0,0,63,"Synth Brass 1",13},
{0,20,63,"Resonant Synth Brass",20},
{0,0,64,"Synth Brass 2",13},
{0,18,64,"Soft Brass",10},
{0,41,64,"Choir Brass",11},
{0,0,65,"Soprano Sax",11},
{0,0,66,"Alto Sax",8},
{0,40,66,"Sax Section",11},
{0,0,67,"Tenor Sax",9},
{0,40,67,"Breathy Tenor Sax",17},
{0,0,68,"Baritone Sax",12},
{0,0,69,"Oboe",4},
{0,0,70,"English Horn",12},
{0,0,71,"Bassoon",7},
{0,0,72,"Clarinet",8},
{0,0,73,"Piccolo",7},
{0,0,74,"Flute",5},
{0,0,75,"Recorder",8},
{0,0,76,"Pan Flute",9},
{0,0,77,"Blown Bottle",12},
{0,0,78,"Shakuhachi",10},
{0,0,79,"Whistle",7},
{0,0,80,"Ocarina",7},
{0,0,81,"Square Lead",11},
{0,6,81,"Square Lead 2",13},
{0,8,81,"LM Square",9},
{0,18,81,"Hollow",6},
{0,19,81,"Shroud",6},
{0,64,81,"Mellow",6},
{0,65,81,"Solo Sine",9},
{0,66,81,"Sine Lead",9},
{0,0,82,"Sawtooth Lead",13},
{0,6,82,"Sawtooth Lead 2",15},
{0,8,82,"Thick Sawtooth",14},
{0,18,82,"Dynamic Sawtooth",16},
{0,19,82,"Digital Sawtooth",16},
{0,20,82,"Big Lead",8},
{0,96,82,"Sequenced Analog",16},
{0,0,83,"Calliope Lead",13},
{0,65,83,"Pure Lead",9},
{0,0,84,"Chiff Lead",10},
{0,0,85,"Charang Lead",12},
{0,64,85,"Distorted Lead",14},
{0,0,86,"Voice Lead",10},
{0,0,87,"Fifths Lead",11},
{0,35,87,"Big Five",8},
{0,0,88,"Bass & Lead",11},
{0,16,88,"Big & Low",9},
{0,64,88,"Fat & Perky",11},
{0,65,88,"Soft Whirl",10},
{0,0,89,"New Age Pad",11},
{0,64,89,"Fantasy",7},
{0,0,90,"Warm Pad",8},
{0,0,91,"Poly Synth Pad",14},
{0,0,92,"Choir Pad",9},
{0,66,92,"Itopia",6},
{0,0,93,"Bowed Pad",9},
{0,0,94,"Metallic Pad",12},
{0,0,95,"Halo Pad",8},
{0,0,96,"Sweep Pad",9},
{0,0,97,"Rain",4},
{0,65,97,"African Wind",12},
{0,66,97,"Carib",5},
{0,0,98,"Sound Track",11},
{0,27,98,"Prologue",8},
{0,0,99,"Crystal",7},
{0,12,99,"Synth Drum Comp",15},
{0,14,99,"Popcorn",7},
{0,18,99,"Tiny Bells",10},
{0,35,99,"Round Glockenspiel",18},
{0,40,99,"Glockenspiel Chimes",19},
{0,41,99,"Clear Bells",11},
{0,42,99,"Chorus Bells",12},
{0,65,99,"Soft Crystal",12},
{0,70,99,"Air Bells",9},
{0,71,99,"Bell Harp",9},
{0,72,99,"Gamelimba",9},
{0,0,100,"Atmosphere",10},
{0,18,100,"Warm Atmosphere",15},
{0,19,100,"Hollow Release",14},
{0,40,100,"Nylon Electric Piano",20},
{0,64,100,"Nylon Harp",10},
{0,65,100,"Harp Vox",8},
{0,66,100,"Atmosphere Pad",14},
{0,0,101,"Brightness",10},
{0,0,102,"Goblins",7},
{0,64,102,"Goblins Synth",13},
{0,65,102,"Creeper",7},
{0,67,102,"Ritual",6},
{0,68,102,"To Heaven",9},
{0,70,102,"Night",5},
{0,71,102,"Glisten",7},
{0,96,102,"Bell Choir",10},
{0,0,103,"Echoes",6},
{0,0,104,"Sci-Fi",6},
{0,0,105,"Sitar",5},
{0,32,105,"Detuned Sitar",13},
{0,35,105,"Sitar 2",7},
{0,97,105,"Tamboura",8},
{0,0,106,"Banjo",5},
